Authors,Total_Contacts,Reference_Genome,Cis_Contacts,Cis Percent,Cis/Total,Trans percent,Trans contacts,Cis/Trans
Ulianov et al 2021,147380,dm3,137910,,0.936,,,
Ulianov et al 2021,29834,dm3,27858,,0.934,,,
Ulianov et al 2021,215642,dm3,200316,,0.929,,,
Ulianov et al 2021,82872,dm3,76488,,0.923,,,
Ulianov et al 2021,54116,dm3,49972,,0.923,,,
Ulianov et al 2021,54428,dm3,49370,,0.907,,,
Ulianov et al 2021,45426,dm3,40920,,0.901,,,
Ulianov et al 2021,155534,dm3,139934,,0.9,,,
Ulianov et al 2021,76036,dm3,67954,,0.894,,,
Ulianov et al 2021,50952,dm3,45462,,0.892,,,
Ulianov et al 2021,70838,dm3,63056,,0.89,,,
Ulianov et al 2021,22174,dm3,19726,,0.89,,,
Ulianov et al 2021,76348,dm3,67882,,0.889,,,
Ulianov et al 2021,49762,dm3,43744,,0.879,,,
Ulianov et al 2021,61238,dm3,53006,,0.866,,,
Ulianov et al 2021,23376,dm3,18150,,0.776,,,
Ulianov et al 2021,16064,dm3,12106,,0.754,,,
Ulianov et al 2021,28646,dm3,20986,,0.733,,,
Ulianov et al 2021,43076,dm3,31224,,0.725,,,
Ulianov et al 2021,25066,dm3,16948,,0.676,,,
Flyamer et al 2017,66783,hg19,61376,,0.919,,,
Flyamer et al 2017,49745,hg19,42929,,0.863,,,
Flyamer et al 2017,356255,hg19,306169,,0.859,,,
Flyamer et al 2017,182949,hg19,157045,,0.858,,,
Flyamer et al 2017,141322,hg19,121183,,0.857,,,
Flyamer et al 2017,263643,hg19,223809,,0.849,,,
Flyamer et al 2017,285306,hg19,241311,,0.846,,,
Flyamer et al 2017,106925,hg19,89768,,0.84,,,
Flyamer et al 2017,354583,hg19,295863,,0.834,,,
Flyamer et al 2017,5616,hg19,3407,,0.607,,,
Flyamer et al 2017,3269,hg19,1878,,0.574,,,
Flyamer et al 2017,2009,hg19,966,,0.481,,,
Flyamer et al 2017,1890,hg19,802,,0.424,,,
Flyamer et al 2017,1430,hg19,579,,0.405,,,
Flyamer et al 2017,1790,hg19,716,,0.4,,,
Flyamer et al 2017,1284,hg19,510,,0.397,,,
Flyamer et al 2017,1560,hg19,495,,0.317,,,
Flyamer et al 2017,1258,hg19,354,,0.281,,,
Flyamer et al 2017,1467,hg19,338,,0.23,,,
Flyamer et al 2017,1386,hg19,310,,0.224,,,
Flyamer et al 2017,1155,hg19,257,,0.223,,,
Flyamer et al 2017,1017,hg19,219,,0.215,,,
Flyamer et al 2017,1154,hg19,217,,0.188,,,
Flyamer et al 2017,1130,hg19,203,,0.18,,,
Flyamer et al 2017,1403,hg19,249,,0.177,,,
Flyamer et al 2017,1297,hg19,230,,0.177,,,
Flyamer et al 2017,1171,hg19,203,,0.173,,,
Flyamer et al 2017,1181,hg19,200,,0.169,,,
Flyamer et al 2017,1029,hg19,169,,0.164,,,
Flyamer et al 2017,1302,hg19,188,,0.144,,,
Flyamer et al 2017,1023,hg19,135,,0.132,,,
Flyamer et al 2017,1352,hg19,169,,0.125,,,
Flyamer et al 2017,1057,hg19,90,,0.085,,,
Flyamer et al 2017,1015,hg19,83,,0.082,,,
Kim et al 2020,2708,hg19,2665,,0.984,,,
Kim et al 2020,2272,hg19,2234,,0.983,,,
Kim et al 2020,4967,hg19,4885,,0.983,,,
Kim et al 2020,1715,hg19,1684,,0.982,,,
Kim et al 2020,3267,hg19,3204,,0.981,,,
Kim et al 2020,3614,hg19,3546,,0.981,,,
Kim et al 2020,5689,hg19,5573,,0.98,,,
Kim et al 2020,2739,hg19,2683,,0.98,,,
Kim et al 2020,5078,hg19,4975,,0.98,,,
Kim et al 2020,2817,hg19,2755,,0.978,,,
Kim et al 2020,3484,hg19,3407,,0.978,,,
Kim et al 2020,3800,hg19,3717,,0.978,,,
Kim et al 2020,11034,hg19,10782,,0.977,,,
Kim et al 2020,7210,hg19,7047,,0.977,,,
Kim et al 2020,1834,hg19,1792,,0.977,,,
Kim et al 2020,2500,hg19,2439,,0.976,,,
Kim et al 2020,5907,hg19,5767,,0.976,,,
Kim et al 2020,2731,hg19,2666,,0.976,,,
Kim et al 2020,6978,hg19,6803,,0.975,,,
Kim et al 2020,4101,hg19,3999,,0.975,,,
Kim et al 2020,1080,hg19,1052,,0.974,,,
Kim et al 2020,4805,hg19,4680,,0.974,,,
Kim et al 2020,3697,hg19,3600,,0.974,,,
Kim et al 2020,1360,hg19,1324,,0.974,,,
Kim et al 2020,6006,hg19,5846,,0.973,,,
Kim et al 2020,3870,hg19,3760,,0.972,,,
Kim et al 2020,10597,hg19,10303,,0.972,,,
Kim et al 2020,1079,hg19,1049,,0.972,,,
Kim et al 2020,5911,hg19,5737,,0.971,,,
Kim et al 2020,4538,hg19,4402,,0.97,,,
Kim et al 2020,6122,hg19,5935,,0.969,,,
Kim et al 2020,8745,hg19,8476,,0.969,,,
Kim et al 2020,10538,hg19,10213,,0.969,,,
Kim et al 2020,11445,hg19,11088,,0.969,,,
Kim et al 2020,1239,hg19,1201,,0.969,,,
Kim et al 2020,2292,hg19,2218,,0.968,,,
Kim et al 2020,1476,hg19,1429,,0.968,,,
Kim et al 2020,6991,hg19,6760,,0.967,,,
Kim et al 2020,6653,hg19,6432,,0.967,,,
Kim et al 2020,4843,hg19,4682,,0.967,,,
Kim et al 2020,3444,hg19,3332,,0.967,,,
Kim et al 2020,984,hg19,952,,0.967,,,
Kim et al 2020,1130,hg19,1093,,0.967,,,
Kim et al 2020,6688,hg19,6455,,0.965,,,
Kim et al 2020,6887,hg19,6644,,0.965,,,
Kim et al 2020,3348,hg19,3231,,0.965,,,
Kim et al 2020,2197,hg19,2121,,0.965,,,
Kim et al 2020,23260,hg19,22418,,0.964,,,
Kim et al 2020,2174,hg19,2096,,0.964,,,
Kim et al 2020,8837,hg19,8515,,0.964,,,
Kim et al 2020,12842,hg19,12367,,0.963,,,
Kim et al 2020,1637,hg19,1577,,0.963,,,
Kim et al 2020,2164,hg19,2085,,0.963,,,
Kim et al 2020,11311,hg19,10896,,0.963,,,
Kim et al 2020,3720,hg19,3577,,0.962,,,
Kim et al 2020,1655,hg19,1592,,0.962,,,
Kim et al 2020,2475,hg19,2381,,0.962,,,
Kim et al 2020,1505,hg19,1447,,0.961,,,
Kim et al 2020,2874,hg19,2761,,0.961,,,
Kim et al 2020,1192,hg19,1145,,0.961,,,
Kim et al 2020,11316,hg19,10872,,0.961,,,
Kim et al 2020,5403,hg19,5193,,0.961,,,
Kim et al 2020,4227,hg19,4063,,0.961,,,
Kim et al 2020,2931,hg19,2816,,0.961,,,
Kim et al 2020,2457,hg19,2362,,0.961,,,
Kim et al 2020,6390,hg19,6137,,0.96,,,
Kim et al 2020,1525,hg19,1463,,0.959,,,
Kim et al 2020,3851,hg19,3694,,0.959,,,
Kim et al 2020,20238,hg19,19418,,0.959,,,
Kim et al 2020,1436,hg19,1377,,0.959,,,
Kim et al 2020,3694,hg19,3544,,0.959,,,
Kim et al 2020,5438,hg19,5214,,0.959,,,
Kim et al 2020,3726,hg19,3575,,0.959,,,
Kim et al 2020,4304,hg19,4126,,0.959,,,
Kim et al 2020,6399,hg19,6135,,0.959,,,
Kim et al 2020,4280,hg19,4105,,0.959,,,
Kim et al 2020,3130,hg19,2999,,0.958,,,
Kim et al 2020,12930,hg19,12391,,0.958,,,
Kim et al 2020,4991,hg19,4783,,0.958,,,
Kim et al 2020,3955,hg19,3787,,0.958,,,
Kim et al 2020,9980,hg19,9550,,0.957,,,
Kim et al 2020,4813,hg19,4605,,0.957,,,
Kim et al 2020,1401,hg19,1339,,0.956,,,
Kim et al 2020,3232,hg19,3089,,0.956,,,
Kim et al 2020,10225,hg19,9774,,0.956,,,
Kim et al 2020,4724,hg19,4515,,0.956,,,
Kim et al 2020,5874,hg19,5618,,0.956,,,
Kim et al 2020,7903,hg19,7551,,0.955,,,
Kim et al 2020,1446,hg19,1381,,0.955,,,
Kim et al 2020,7149,hg19,6828,,0.955,,,
Kim et al 2020,5272,hg19,5037,,0.955,,,
Kim et al 2020,4564,hg19,4356,,0.954,,,
Kim et al 2020,1468,hg19,1400,,0.954,,,
Kim et al 2020,7282,hg19,6944,,0.954,,,
Kim et al 2020,2579,hg19,2460,,0.954,,,
Kim et al 2020,3179,hg19,3034,,0.954,,,
Kim et al 2020,1888,hg19,1802,,0.954,,,
Kim et al 2020,6379,hg19,6076,,0.953,,,
Kim et al 2020,4462,hg19,4251,,0.953,,,
Kim et al 2020,1384,hg19,1318,,0.952,,,
Kim et al 2020,4744,hg19,4514,,0.952,,,
Kim et al 2020,2644,hg19,2518,,0.952,,,
Kim et al 2020,1519,hg19,1445,,0.951,,,
Kim et al 2020,3605,hg19,3429,,0.951,,,
Kim et al 2020,4962,hg19,4718,,0.951,,,
Kim et al 2020,1081,hg19,1028,,0.951,,,
Kim et al 2020,7128,hg19,6778,,0.951,,,
Kim et al 2020,9403,hg19,8930,,0.95,,,
Kim et al 2020,4767,hg19,4527,,0.95,,,
Kim et al 2020,6794,hg19,6453,,0.95,,,
Kim et al 2020,1460,hg19,1387,,0.95,,,
Kim et al 2020,1570,hg19,1490,,0.949,,,
Kim et al 2020,3262,hg19,3097,,0.949,,,
Kim et al 2020,5955,hg19,5649,,0.949,,,
Kim et al 2020,9059,hg19,8597,,0.949,,,
Kim et al 2020,3204,hg19,3041,,0.949,,,
Kim et al 2020,6440,hg19,6111,,0.949,,,
Kim et al 2020,2563,hg19,2432,,0.949,,,
Kim et al 2020,4352,hg19,4128,,0.949,,,
Kim et al 2020,3015,hg19,2861,,0.949,,,
Kim et al 2020,2158,hg19,2048,,0.949,,,
Kim et al 2020,1611,hg19,1527,,0.948,,,
Kim et al 2020,13463,hg19,12757,,0.948,,,
Kim et al 2020,1316,hg19,1248,,0.948,,,
Kim et al 2020,8465,hg19,8027,,0.948,,,
Kim et al 2020,1317,hg19,1249,,0.948,,,
Kim et al 2020,2962,hg19,2809,,0.948,,,
Kim et al 2020,1760,hg19,1669,,0.948,,,
Kim et al 2020,2271,hg19,2154,,0.948,,,
Kim et al 2020,12618,hg19,11953,,0.947,,,
Kim et al 2020,5036,hg19,4771,,0.947,,,
Kim et al 2020,1534,hg19,1452,,0.947,,,
Kim et al 2020,5196,hg19,4921,,0.947,,,
Kim et al 2020,3367,hg19,3189,,0.947,,,
Kim et al 2020,1640,hg19,1553,,0.947,,,
Kim et al 2020,6454,hg19,6104,,0.946,,,
Kim et al 2020,11708,hg19,11081,,0.946,,,
Kim et al 2020,1940,hg19,1835,,0.946,,,
Kim et al 2020,6778,hg19,6413,,0.946,,,
Kim et al 2020,9496,hg19,8981,,0.946,,,
Kim et al 2020,3551,hg19,3359,,0.946,,,
Kim et al 2020,3967,hg19,3751,,0.946,,,
Kim et al 2020,4216,hg19,3988,,0.946,,,
Kim et al 2020,8205,hg19,7758,,0.946,,,
Kim et al 2020,11625,hg19,10984,,0.945,,,
Kim et al 2020,1854,hg19,1752,,0.945,,,
Kim et al 2020,7144,hg19,6752,,0.945,,,
Kim et al 2020,2803,hg19,2650,,0.945,,,
Kim et al 2020,3174,hg19,2999,,0.945,,,
Kim et al 2020,2136,hg19,2018,,0.945,,,
Kim et al 2020,2130,hg19,2012,,0.945,,,
Kim et al 2020,1522,hg19,1438,,0.945,,,
Kim et al 2020,2855,hg19,2695,,0.944,,,
Kim et al 2020,3421,hg19,3229,,0.944,,,
Kim et al 2020,3539,hg19,3342,,0.944,,,
Kim et al 2020,6404,hg19,6044,,0.944,,,
Kim et al 2020,6285,hg19,5930,,0.944,,,
Kim et al 2020,4752,hg19,4488,,0.944,,,
Kim et al 2020,2172,hg19,2050,,0.944,,,
Kim et al 2020,2947,hg19,2782,,0.944,,,
Kim et al 2020,1036,hg19,978,,0.944,,,
Kim et al 2020,2388,hg19,2253,,0.943,,,
Kim et al 2020,5984,hg19,5644,,0.943,,,
Kim et al 2020,6328,hg19,5965,,0.943,,,
Kim et al 2020,3518,hg19,3318,,0.943,,,
Kim et al 2020,5080,hg19,4788,,0.943,,,
Kim et al 2020,7974,hg19,7523,,0.943,,,
Kim et al 2020,9693,hg19,9145,,0.943,,,
Kim et al 2020,2584,hg19,2438,,0.943,,,
Kim et al 2020,2610,hg19,2460,,0.943,,,
Kim et al 2020,2027,hg19,1912,,0.943,,,
Kim et al 2020,5166,hg19,4872,,0.943,,,
Kim et al 2020,5126,hg19,4834,,0.943,,,
Kim et al 2020,3118,hg19,2938,,0.942,,,
Kim et al 2020,21650,hg19,20403,,0.942,,,
Kim et al 2020,20300,hg19,19121,,0.942,,,
Kim et al 2020,9809,hg19,9236,,0.942,,,
Kim et al 2020,3451,hg19,3252,,0.942,,,
Kim et al 2020,3747,hg19,3530,,0.942,,,
Kim et al 2020,7580,hg19,7137,,0.942,,,
Kim et al 2020,4888,hg19,4606,,0.942,,,
Kim et al 2020,1379,hg19,1299,,0.942,,,
Kim et al 2020,2975,hg19,2801,,0.942,,,
Kim et al 2020,2067,hg19,1947,,0.942,,,
Kim et al 2020,3009,hg19,2833,,0.942,,,
Kim et al 2020,2478,hg19,2335,,0.942,,,
Kim et al 2020,3921,hg19,3689,,0.941,,,
Kim et al 2020,5294,hg19,4983,,0.941,,,
Kim et al 2020,2118,hg19,1994,,0.941,,,
Kim et al 2020,1077,hg19,1013,,0.941,,,
Kim et al 2020,2509,hg19,2360,,0.941,,,
Kim et al 2020,2816,hg19,2651,,0.941,,,
Kim et al 2020,1605,hg19,1510,,0.941,,,
Kim et al 2020,5443,hg19,5119,,0.94,,,
Kim et al 2020,8744,hg19,8220,,0.94,,,
Kim et al 2020,8933,hg19,8394,,0.94,,,
Kim et al 2020,3597,hg19,3382,,0.94,,,
Kim et al 2020,6692,hg19,6293,,0.94,,,
Kim et al 2020,5445,hg19,5117,,0.94,,,
Kim et al 2020,3652,hg19,3434,,0.94,,,
Kim et al 2020,6130,hg19,5764,,0.94,,,
Kim et al 2020,1927,hg19,1812,,0.94,,,
Kim et al 2020,6882,hg19,6467,,0.94,,,
Kim et al 2020,1317,hg19,1238,,0.94,,,
Kim et al 2020,1592,hg19,1496,,0.94,,,
Kim et al 2020,3407,hg19,3204,,0.94,,,
Kim et al 2020,1436,hg19,1348,,0.939,,,
Kim et al 2020,2681,hg19,2518,,0.939,,,
Kim et al 2020,9920,hg19,9313,,0.939,,,
Kim et al 2020,10532,hg19,9891,,0.939,,,
Kim et al 2020,1203,hg19,1130,,0.939,,,
Kim et al 2020,3368,hg19,3163,,0.939,,,
Kim et al 2020,5328,hg19,5003,,0.939,,,
Kim et al 2020,2889,hg19,2714,,0.939,,,
Kim et al 2020,3645,hg19,3422,,0.939,,,
Kim et al 2020,3143,hg19,2947,,0.938,,,
Kim et al 2020,9529,hg19,8934,,0.938,,,
Kim et al 2020,2971,hg19,2787,,0.938,,,
Kim et al 2020,4238,hg19,3974,,0.938,,,
Kim et al 2020,7494,hg19,7030,,0.938,,,
Kim et al 2020,2194,hg19,2059,,0.938,,,
Kim et al 2020,1342,hg19,1259,,0.938,,,
Kim et al 2020,4412,hg19,4140,,0.938,,,
Kim et al 2020,1190,hg19,1116,,0.938,,,
Kim et al 2020,1400,hg19,1313,,0.938,,,
Kim et al 2020,1200,hg19,1125,,0.938,,,
Kim et al 2020,2501,hg19,2345,,0.938,,,
Kim et al 2020,17432,hg19,16339,,0.937,,,
Kim et al 2020,2401,hg19,2250,,0.937,,,
Kim et al 2020,6607,hg19,6192,,0.937,,,
Kim et al 2020,1923,hg19,1801,,0.937,,,
Kim et al 2020,4182,hg19,3918,,0.937,,,
Kim et al 2020,11330,hg19,10615,,0.937,,,
Kim et al 2020,3774,hg19,3536,,0.937,,,
Kim et al 2020,3015,hg19,2824,,0.937,,,
Kim et al 2020,4401,hg19,4122,,0.937,,,
Kim et al 2020,4220,hg19,3953,,0.937,,,
Kim et al 2020,2223,hg19,2084,,0.937,,,
Kim et al 2020,5625,hg19,5268,,0.937,,,
Kim et al 2020,4930,hg19,4617,,0.937,,,
Kim et al 2020,1053,hg19,987,,0.937,,,
Kim et al 2020,1121,hg19,1050,,0.937,,,
Kim et al 2020,1533,hg19,1436,,0.937,,,
Kim et al 2020,1867,hg19,1749,,0.937,,,
Kim et al 2020,2153,hg19,2018,,0.937,,,
Kim et al 2020,4292,hg19,4019,,0.936,,,
Kim et al 2020,18085,hg19,16930,,0.936,,,
Kim et al 2020,4095,hg19,3833,,0.936,,,
Kim et al 2020,1359,hg19,1272,,0.936,,,
Kim et al 2020,12555,hg19,11753,,0.936,,,
Kim et al 2020,1890,hg19,1769,,0.936,,,
Kim et al 2020,5141,hg19,4812,,0.936,,,
Kim et al 2020,5592,hg19,5233,,0.936,,,
Kim et al 2020,2716,hg19,2542,,0.936,,,
Kim et al 2020,3118,hg19,2918,,0.936,,,
Kim et al 2020,3295,hg19,3085,,0.936,,,
Kim et al 2020,2295,hg19,2147,,0.936,,,
Kim et al 2020,4147,hg19,3880,,0.936,,,
Kim et al 2020,6049,hg19,5661,,0.936,,,
Kim et al 2020,6397,hg19,5989,,0.936,,,
Kim et al 2020,3548,hg19,3320,,0.936,,,
Kim et al 2020,1602,hg19,1500,,0.936,,,
Kim et al 2020,3306,hg19,3095,,0.936,,,
Kim et al 2020,1605,hg19,1502,,0.936,,,
Kim et al 2020,3067,hg19,2871,,0.936,,,
Kim et al 2020,1922,hg19,1799,,0.936,,,
Kim et al 2020,1186,hg19,1110,,0.936,,,
Kim et al 2020,2952,hg19,2762,,0.936,,,
Kim et al 2020,4201,hg19,3931,,0.936,,,
Kim et al 2020,1647,hg19,1541,,0.936,,,
Kim et al 2020,4478,hg19,4185,,0.935,,,
Kim et al 2020,3043,hg19,2845,,0.935,,,
Kim et al 2020,3394,hg19,3174,,0.935,,,
Kim et al 2020,12051,hg19,11264,,0.935,,,
Kim et al 2020,2952,hg19,2759,,0.935,,,
Kim et al 2020,2157,hg19,2016,,0.935,,,
Kim et al 2020,5812,hg19,5436,,0.935,,,
Kim et al 2020,3431,hg19,3208,,0.935,,,
Kim et al 2020,9734,hg19,9106,,0.935,,,
Kim et al 2020,5369,hg19,5019,,0.935,,,
Kim et al 2020,2355,hg19,2203,,0.935,,,
Kim et al 2020,1433,hg19,1340,,0.935,,,
Kim et al 2020,5158,hg19,4822,,0.935,,,
Kim et al 2020,1749,hg19,1635,,0.935,,,
Kim et al 2020,2502,hg19,2340,,0.935,,,
Kim et al 2020,22741,hg19,21257,,0.935,,,
Kim et al 2020,18933,hg19,17708,,0.935,,,
Kim et al 2020,3675,hg19,3434,,0.934,,,
Kim et al 2020,6825,hg19,6373,,0.934,,,
Kim et al 2020,2310,hg19,2158,,0.934,,,
Kim et al 2020,5682,hg19,5308,,0.934,,,
Kim et al 2020,5569,hg19,5202,,0.934,,,
Kim et al 2020,6308,hg19,5893,,0.934,,,
Kim et al 2020,4003,hg19,3738,,0.934,,,
Kim et al 2020,3619,hg19,3379,,0.934,,,
Kim et al 2020,4982,hg19,4653,,0.934,,,
Kim et al 2020,8124,hg19,7591,,0.934,,,
Kim et al 2020,3047,hg19,2846,,0.934,,,
Kim et al 2020,2739,hg19,2559,,0.934,,,
Kim et al 2020,1728,hg19,1614,,0.934,,,
Kim et al 2020,1603,hg19,1497,,0.934,,,
Kim et al 2020,2923,hg19,2731,,0.934,,,
Kim et al 2020,3799,hg19,3548,,0.934,,,
Kim et al 2020,1855,hg19,1732,,0.934,,,
Kim et al 2020,2815,hg19,2629,,0.934,,,
Kim et al 2020,4812,hg19,4495,,0.934,,,
Kim et al 2020,3276,hg19,3060,,0.934,,,
Kim et al 2020,1754,hg19,1638,,0.934,,,
Kim et al 2020,1854,hg19,1731,,0.934,,,
Kim et al 2020,1471,hg19,1374,,0.934,,,
Kim et al 2020,2426,hg19,2266,,0.934,,,
Kim et al 2020,6464,hg19,6029,,0.933,,,
Kim et al 2020,5348,hg19,4992,,0.933,,,
Kim et al 2020,3509,hg19,3275,,0.933,,,
Kim et al 2020,5602,hg19,5225,,0.933,,,
Kim et al 2020,2787,hg19,2600,,0.933,,,
Kim et al 2020,2978,hg19,2777,,0.933,,,
Kim et al 2020,1815,hg19,1693,,0.933,,,
Kim et al 2020,1379,hg19,1286,,0.933,,,
Kim et al 2020,3363,hg19,3136,,0.933,,,
Kim et al 2020,2580,hg19,2407,,0.933,,,
Kim et al 2020,3379,hg19,3152,,0.933,,,
Kim et al 2020,3146,hg19,2934,,0.933,,,
Kim et al 2020,1758,hg19,1640,,0.933,,,
Kim et al 2020,1992,hg19,1858,,0.933,,,
Kim et al 2020,2582,hg19,2409,,0.933,,,
Kim et al 2020,2891,hg19,2696,,0.933,,,
Kim et al 2020,1582,hg19,1476,,0.933,,,
Kim et al 2020,1087,hg19,1013,,0.932,,,
Kim et al 2020,2731,hg19,2544,,0.932,,,
Kim et al 2020,5859,hg19,5461,,0.932,,,
Kim et al 2020,1934,hg19,1802,,0.932,,,
Kim et al 2020,3129,hg19,2917,,0.932,,,
Kim et al 2020,1644,hg19,1532,,0.932,,,
Kim et al 2020,6185,hg19,5765,,0.932,,,
Kim et al 2020,6934,hg19,6462,,0.932,,,
Kim et al 2020,5285,hg19,4925,,0.932,,,
Kim et al 2020,5124,hg19,4775,,0.932,,,
Kim et al 2020,2325,hg19,2168,,0.932,,,
Kim et al 2020,1747,hg19,1629,,0.932,,,
Kim et al 2020,4517,hg19,4210,,0.932,,,
Kim et al 2020,1668,hg19,1555,,0.932,,,
Kim et al 2020,4338,hg19,4041,,0.932,,,
Kim et al 2020,4421,hg19,4122,,0.932,,,
Kim et al 2020,2011,hg19,1875,,0.932,,,
Kim et al 2020,6810,hg19,6345,,0.932,,,
Kim et al 2020,3853,hg19,3591,,0.932,,,
Kim et al 2020,3914,hg19,3646,,0.932,,,
Kim et al 2020,1556,hg19,1450,,0.932,,,
Kim et al 2020,4891,hg19,4556,,0.932,,,
Kim et al 2020,1692,hg19,1577,,0.932,,,
Kim et al 2020,1310,hg19,1221,,0.932,,,
Kim et al 2020,2111,hg19,1967,,0.932,,,
Kim et al 2020,4580,hg19,4270,,0.932,,,
Kim et al 2020,3534,hg19,3292,,0.932,,,
Kim et al 2020,8606,hg19,8014,,0.931,,,
Kim et al 2020,5830,hg19,5429,,0.931,,,
Kim et al 2020,1167,hg19,1086,,0.931,,,
Kim et al 2020,2428,hg19,2260,,0.931,,,
Kim et al 2020,1123,hg19,1045,,0.931,,,
Kim et al 2020,2862,hg19,2664,,0.931,,,
Kim et al 2020,7549,hg19,7027,,0.931,,,
Kim et al 2020,2406,hg19,2239,,0.931,,,
Kim et al 2020,2659,hg19,2476,,0.931,,,
Kim et al 2020,3236,hg19,3013,,0.931,,,
Kim et al 2020,8644,hg19,8048,,0.931,,,
Kim et al 2020,3750,hg19,3492,,0.931,,,
Kim et al 2020,2102,hg19,1958,,0.931,,,
Kim et al 2020,3832,hg19,3567,,0.931,,,
Kim et al 2020,3180,hg19,2960,,0.931,,,
Kim et al 2020,1306,hg19,1216,,0.931,,,
Kim et al 2020,2840,hg19,2644,,0.931,,,
Kim et al 2020,2393,hg19,2229,,0.931,,,
Kim et al 2020,3989,hg19,3715,,0.931,,,
Kim et al 2020,1719,hg19,1600,,0.931,,,
Kim et al 2020,1059,hg19,986,,0.931,,,
Kim et al 2020,3401,hg19,3168,,0.931,,,
Kim et al 2020,1077,hg19,1003,,0.931,,,
Kim et al 2020,1196,hg19,1114,,0.931,,,
Kim et al 2020,1459,hg19,1359,,0.931,,,
Kim et al 2020,2281,hg19,2123,,0.931,,,
Kim et al 2020,2064,hg19,1922,,0.931,,,
Kim et al 2020,3263,hg19,3038,,0.931,,,
Kim et al 2020,1189,hg19,1107,,0.931,,,
Kim et al 2020,2074,hg19,1929,,0.93,,,
Kim et al 2020,6517,hg19,6058,,0.93,,,
Kim et al 2020,3690,hg19,3433,,0.93,,,
Kim et al 2020,3710,hg19,3449,,0.93,,,
Kim et al 2020,3147,hg19,2926,,0.93,,,
Kim et al 2020,2177,hg19,2024,,0.93,,,
Kim et al 2020,3235,hg19,3009,,0.93,,,
Kim et al 2020,10730,hg19,9976,,0.93,,,
Kim et al 2020,2678,hg19,2490,,0.93,,,
Kim et al 2020,3094,hg19,2878,,0.93,,,
Kim et al 2020,2383,hg19,2215,,0.93,,,
Kim et al 2020,3963,hg19,3686,,0.93,,,
Kim et al 2020,1199,hg19,1115,,0.93,,,
Kim et al 2020,2154,hg19,2003,,0.93,,,
Kim et al 2020,2228,hg19,2072,,0.93,,,
Kim et al 2020,1675,hg19,1557,,0.93,,,
Kim et al 2020,2854,hg19,2654,,0.93,,,
Kim et al 2020,5360,hg19,4984,,0.93,,,
Kim et al 2020,4025,hg19,3743,,0.93,,,
Kim et al 2020,5726,hg19,5326,,0.93,,,
Kim et al 2020,6674,hg19,6210,,0.93,,,
Kim et al 2020,2252,hg19,2095,,0.93,,,
Kim et al 2020,1354,hg19,1259,,0.93,,,
Kim et al 2020,2198,hg19,2044,,0.93,,,
Kim et al 2020,1187,hg19,1104,,0.93,,,
Kim et al 2020,6913,hg19,6429,,0.93,,,
Kim et al 2020,3492,hg19,3249,,0.93,,,
Kim et al 2020,2557,hg19,2378,,0.93,,,
Kim et al 2020,4242,hg19,3943,,0.93,,,
Kim et al 2020,2666,hg19,2476,,0.929,,,
Kim et al 2020,10050,hg19,9334,,0.929,,,
Kim et al 2020,4771,hg19,4430,,0.929,,,
Kim et al 2020,7391,hg19,6864,,0.929,,,
Kim et al 2020,3685,hg19,3425,,0.929,,,
Kim et al 2020,2885,hg19,2680,,0.929,,,
Kim et al 2020,4226,hg19,3925,,0.929,,,
Kim et al 2020,1592,hg19,1479,,0.929,,,
Kim et al 2020,4068,hg19,3781,,0.929,,,
Kim et al 2020,2155,hg19,2001,,0.929,,,
Kim et al 2020,2481,hg19,2306,,0.929,,,
Kim et al 2020,3198,hg19,2970,,0.929,,,
Kim et al 2020,4890,hg19,4544,,0.929,,,
Kim et al 2020,2146,hg19,1993,,0.929,,,
Kim et al 2020,5649,hg19,5250,,0.929,,,
Kim et al 2020,4663,hg19,4330,,0.929,,,
Kim et al 2020,1888,hg19,1754,,0.929,,,
Kim et al 2020,3343,hg19,3106,,0.929,,,
Kim et al 2020,2014,hg19,1871,,0.929,,,
Kim et al 2020,2339,hg19,2174,,0.929,,,
Kim et al 2020,1212,hg19,1126,,0.929,,,
Kim et al 2020,2389,hg19,2220,,0.929,,,
Kim et al 2020,1027,hg19,954,,0.929,,,
Kim et al 2020,2618,hg19,2431,,0.929,,,
Kim et al 2020,1970,hg19,1830,,0.929,,,
Kim et al 2020,1683,hg19,1564,,0.929,,,
Kim et al 2020,2772,hg19,2576,,0.929,,,
Kim et al 2020,10416,hg19,9661,,0.928,,,
Kim et al 2020,8480,hg19,7867,,0.928,,,
Kim et al 2020,1629,hg19,1511,,0.928,,,
Kim et al 2020,5765,hg19,5348,,0.928,,,
Kim et al 2020,5707,hg19,5294,,0.928,,,
Kim et al 2020,6668,hg19,6186,,0.928,,,
Kim et al 2020,7984,hg19,7409,,0.928,,,
Kim et al 2020,3995,hg19,3708,,0.928,,,
Kim et al 2020,5223,hg19,4849,,0.928,,,
Kim et al 2020,7691,hg19,7140,,0.928,,,
Kim et al 2020,7003,hg19,6497,,0.928,,,
Kim et al 2020,3070,hg19,2849,,0.928,,,
Kim et al 2020,3282,hg19,3047,,0.928,,,
Kim et al 2020,4239,hg19,3935,,0.928,,,
Kim et al 2020,1225,hg19,1137,,0.928,,,
Kim et al 2020,1479,hg19,1372,,0.928,,,
Kim et al 2020,4153,hg19,3855,,0.928,,,
Kim et al 2020,1193,hg19,1107,,0.928,,,
Kim et al 2020,3920,hg19,3637,,0.928,,,
